cod;genero;raca;nome;regiao;periodo;valor
12;homem;nao negro;AC;Norte;2000;44
27;homem;nao negro;AL;Nordeste;2000;92
16;homem;nao negro;AP;Norte;2000;12
13;homem;nao negro;AM;Norte;2000;42
29;homem;nao negro;BA;Nordeste;2000;79
23;homem;nao negro;CE;Nordeste;2000;182
53;homem;nao negro;DF;Centro-Oeste;2000;97
32;homem;nao negro;ES;Sudeste;2000;237
52;homem;nao negro;GO;Centro-Oeste;2000;269
21;homem;nao negro;MA;Nordeste;2000;56
51;homem;nao negro;MT;Centro-Oeste;2000;303
50;homem;nao negro;MS;Centro-Oeste;2000;259
31;homem;nao negro;MG;Sudeste;2000;541
15;homem;nao negro;PA;Norte;2000;88
25;homem;nao negro;PB;Nordeste;2000;52
41;homem;nao negro;PR;Sul;2000;1242
26;homem;nao negro;PE;Nordeste;2000;476
22;homem;nao negro;PI;Nordeste;2000;33
33;homem;nao negro;RJ;Sudeste;2000;2447
24;homem;nao negro;RN;Nordeste;2000;50
43;homem;nao negro;RS;Sul;2000;1216
11;homem;nao negro;RO;Norte;2000;109
14;homem;nao negro;RR;Norte;2000;18
42;homem;nao negro;SC;Sul;2000;292
35;homem;nao negro;SP;Sudeste;2000;8110
28;homem;nao negro;SE;Nordeste;2000;62
17;homem;nao negro;TO;Norte;2000;52
12;homem;nao negro;AC;Norte;2001;31
27;homem;nao negro;AL;Nordeste;2001;95
16;homem;nao negro;AP;Norte;2001;13
13;homem;nao negro;AM;Norte;2001;50
29;homem;nao negro;BA;Nordeste;2001;132
23;homem;nao negro;CE;Nordeste;2001;164
53;homem;nao negro;DF;Centro-Oeste;2001;87
32;homem;nao negro;ES;Sudeste;2001;222
52;homem;nao negro;GO;Centro-Oeste;2001;306
21;homem;nao negro;MA;Nordeste;2001;81
51;homem;nao negro;MT;Centro-Oeste;2001;276
50;homem;nao negro;MS;Centro-Oeste;2001;265
31;homem;nao negro;MG;Sudeste;2001;673
15;homem;nao negro;PA;Norte;2001;96
25;homem;nao negro;PB;Nordeste;2001;47
41;homem;nao negro;PR;Sul;2001;1469
26;homem;nao negro;PE;Nordeste;2001;491
22;homem;nao negro;PI;Nordeste;2001;34
33;homem;nao negro;RJ;Sudeste;2001;2306
24;homem;nao negro;RN;Nordeste;2001;58
43;homem;nao negro;RS;Sul;2001;1342
11;homem;nao negro;RO;Norte;2001;178
14;homem;nao negro;RR;Norte;2001;21
42;homem;nao negro;SC;Sul;2001;320
35;homem;nao negro;SP;Sudeste;2001;8301
28;homem;nao negro;SE;Nordeste;2001;80
17;homem;nao negro;TO;Norte;2001;60
12;homem;nao negro;AC;Norte;2002;43
27;homem;nao negro;AL;Nordeste;2002;99
16;homem;nao negro;AP;Norte;2002;14
13;homem;nao negro;AM;Norte;2002;53
29;homem;nao negro;BA;Nordeste;2002;134
23;homem;nao negro;CE;Nordeste;2002;126
53;homem;nao negro;DF;Centro-Oeste;2002;80
32;homem;nao negro;ES;Sudeste;2002;261
52;homem;nao negro;GO;Centro-Oeste;2002;361
21;homem;nao negro;MA;Nordeste;2002;90
51;homem;nao negro;MT;Centro-Oeste;2002;283
50;homem;nao negro;MS;Centro-Oeste;2002;284
31;homem;nao negro;MG;Sudeste;2002;783
15;homem;nao negro;PA;Norte;2002;127
25;homem;nao negro;PB;Nordeste;2002;44
41;homem;nao negro;PR;Sul;2002;1644
26;homem;nao negro;PE;Nordeste;2002;459
22;homem;nao negro;PI;Nordeste;2002;37
33;homem;nao negro;RJ;Sudeste;2002;2631
