cod;nome;regiao;periodo;valor
53;DF;Centro-Oeste;1979;122
52;GO;Centro-Oeste;1979;360
51;MT;Centro-Oeste;1979;10
50;MS;Centro-Oeste;1979;135
43;RS;Sul;1979;539
42;SC;Sul;1979;180
41;PR;Sul;1979;804
35;SP;Sudeste;1979;2397
33;RJ;Sudeste;1979;2430
32;ES;Sudeste;1979;260
31;MG;Sudeste;1979;1094
29;BA;Nordeste;1979;319
28;SE;Nordeste;1979;55
12;AC;Norte;1979;34
11;RO;Norte;1979;90
27;AL;Nordeste;1979;269
26;PE;Nordeste;1979;945
25;PB;Nordeste;1979;212
24;RN;Nordeste;1979;96
23;CE;Nordeste;1979;317
22;PI;Nordeste;1979;30
21;MA;Nordeste;1979;90
17;TO;Norte;1979;0
16;AP;Norte;1979;15
15;PA;Norte;1979;263
14;RR;Norte;1979;9
13;AM;Norte;1979;142
11;RO;Norte;1980;118
12;AC;Norte;1980;26
13;AM;Norte;1980;138
14;RR;Norte;1980;11
15;PA;Norte;1980;304
16;AP;Norte;1980;7
17;TO;Norte;1980;0
21;MA;Nordeste;1980;108
22;PI;Nordeste;1980;50
23;CE;Nordeste;1980;445
24;RN;Nordeste;1980;163
25;PB;Nordeste;1980;302
26;PE;Nordeste;1980;1121
27;AL;Nordeste;1980;280
28;SE;Nordeste;1980;82
29;BA;Nordeste;1980;319
31;MG;Sudeste;1980;1164
32;ES;Sudeste;1980;305
33;RJ;Sudeste;1980;2941
35;SP;Sudeste;1980;3446
41;PR;Sul;1980;831
42;SC;Sul;1980;241
43;RS;Sul;1980;633
50;MS;Centro-Oeste;1980;224
51;MT;Centro-Oeste;1980;38
52;GO;Centro-Oeste;1980;469
53;DF;Centro-Oeste;1980;145
11;RO;Norte;1981;128
12;AC;Norte;1981;28
13;AM;Norte;1981;136
14;RR;Norte;1981;16
15;PA;Norte;1981;337
16;AP;Norte;1981;15
17;TO;Norte;1981;0
21;MA;Nordeste;1981;145
22;PI;Nordeste;1981;74
23;CE;Nordeste;1981;496
24;RN;Nordeste;1981;171
25;PB;Nordeste;1981;342
26;PE;Nordeste;1981;1407
27;AL;Nordeste;1981;392
28;SE;Nordeste;1981;100
29;BA;Nordeste;1981;310
31;MG;Sudeste;1981;1108
32;ES;Sudeste;1981;355
33;RJ;Sudeste;1981;2501
35;SP;Sudeste;1981;4195
41;PR;Sul;1981;929
42;SC;Sul;1981;271
43;RS;Sul;1981;664
50;MS;Centro-Oeste;1981;252
51;MT;Centro-Oeste;1981;77
52;GO;Centro-Oeste;1981;599
53;DF;Centro-Oeste;1981;168
11;RO;Norte;1982;123
12;AC;Norte;1982;41
13;AM;Norte;1982;157
14;RR;Norte;1982;29
15;PA;Norte;1982;362
16;AP;Norte;1982;23
17;TO;Norte;1982;0
21;MA;Nordeste;1982;146
22;PI;Nordeste;1982;111
23;CE;Nordeste;1982;495
24;RN;Nordeste;1982;201
25;PB;Nordeste;1982;328
26;PE;Nordeste;1982;1509
27;AL;Nordeste;1982;430
28;SE;Nordeste;1982;121
29;BA;Nordeste;1982;491
31;MG;Sudeste;1982;1104
32;ES;Sudeste;1982;354
33;RJ;Sudeste;1982;2180
35;SP;Sudeste;1982;4183
41;PR;Sul;1982;1076
42;SC;Sul;1982;266
43;RS;Sul;1982;689
50;MS;Centro-Oeste;1982;271
51;MT;Centro-Oeste;1982;65
52;GO;Centro-Oeste;1982;602
53;DF;Centro-Oeste;1982;197
11;RO;Norte;1983;142
12;AC;Norte;1983;33
13;AM;Norte;1983;151
14;RR;Norte;1983;20
15;PA;Norte;1983;459
16;AP;Norte;1983;28
17;TO;Norte;1983;0
21;MA;Nordeste;1983;164
22;PI;Nordeste;1983;125
23;CE;Nordeste;1983;614
24;RN;Nordeste;1983;174
25;PB;Nordeste;1983;360
26;PE;Nordeste;1983;1646
27;AL;Nordeste;1983;558
28;SE;Nordeste;1983;106
29;BA;Nordeste;1983;372
31;MG;Sudeste;1983;1008
32;ES;Sudeste;1983;365
33;RJ;Sudeste;1983;1864
35;SP;Sudeste;1983;5858
41;PR;Sul;1983;1153
42;SC;Sul;1983;317
43;RS;Sul;1983;663
50;MS;Centro-Oeste;1983;303
51;MT;Centro-Oeste;1983;143
52;GO;Centro-Oeste;1983;603
53;DF;Centro-Oeste;1983;181
27;AL;Nordeste;1984;543
11;RO;Norte;1984;207
12;AC;Norte;1984;36
13;AM;Norte;1984;209
14;RR;Norte;1984;17
15;PA;Norte;1984;522
16;AP;Norte;1984;25
17;TO;Norte;1984;0
21;MA;Nordeste;1984;184
22;PI;Nordeste;1984;94
23;CE;Nordeste;1984;593
24;RN;Nordeste;1984;136
25;PB;Nordeste;1984;386
26;PE;Nordeste;1984;1857
28;SE;Nordeste;1984;62
29;BA;Nordeste;1984;512
31;MG;Sudeste;1984;1128
32;ES;Sudeste;1984;402
33;RJ;Sudeste;1984;2468
35;SP;Sudeste;1984;7080
41;PR;Sul;1984;1066
42;SC;Sul;1984;295
43;RS;Sul;1984;686
50;MS;Centro-Oeste;1984;340
51;MT;Centro-Oeste;1984;194
52;GO;Centro-Oeste;1984;561
53;DF;Centro-Oeste;1984;165
11;RO;Norte;1985;319
12;AC;Norte;1985;51
13;AM;Norte;1985;184
14;RR;Norte;1985;12
15;PA;Norte;1985;507
16;AP;Norte;1985;34
17;TO;Norte;1985;0
21;MA;Nordeste;1985;162
22;PI;Nordeste;1985;76
23;CE;Nordeste;1985;549
24;RN;Nordeste;1985;134
25;PB;Nordeste;1985;380
26;PE;Nordeste;1985;2011
27;AL;Nordeste;1985;512
28;SE;Nordeste;1985;65
29;BA;Nordeste;1985;540
31;MG;Sudeste;1985;1028
32;ES;Sudeste;1985;455
33;RJ;Sudeste;1985;2541
35;SP;Sudeste;1985;7027
41;PR;Sul;1985;921
42;SC;Sul;1985;263
43;RS;Sul;1985;681
50;MS;Centro-Oeste;1985;253
51;MT;Centro-Oeste;1985;270
52;GO;Centro-Oeste;1985;523
53;DF;Centro-Oeste;1985;250
11;RO;Norte;1986;371
12;AC;Norte;1986;62
13;AM;Norte;1986;159
14;RR;Norte;1986;13
15;PA;Norte;1986;582
16;AP;Norte;1986;30
17;TO;Norte;1986;0
21;MA;Nordeste;1986;259
22;PI;Nordeste;1986;103
23;CE;Nordeste;1986;521
24;RN;Nordeste;1986;104
25;PB;Nordeste;1986;475
26;PE;Nordeste;1986;2043
27;AL;Nordeste;1986;564
28;SE;Nordeste;1986;77
29;BA;Nordeste;1986;547
31;MG;Sudeste;1986;1046
32;ES;Sudeste;1986;483
